opt,lam,test_acc_mean,test_acc_std,prev_tasks_acc_mean,prev_tasks_acc_std,update_norm_mean,update_norm_std
adam,0.0,0.11614000618457794,0.0005949264256058507,0.11656993915824318,0.0006498693677168127,0.0,0.0
adam,0.03,0.5463450253009796,0.05720381674420097,0.10405657599056839,0.000734650684880048,1.6944912683963775,0.018379904004141787
adamw,0.0,0.11610625619068742,0.0006814123973494086,0.11638508287113072,0.0005790462971376253,0.0,0.0
adamw,0.03,0.5416750247279803,0.05086950683993027,0.10410407186987135,0.0002876063732493529,1.690901599327723,0.024504155640148958
sgd,0.0,0.9189300429821013,0.0007979301232297512,0.23003354058208006,0.00282090031197991,0.0023109411413315684,5.327070855238183e-05
sgd,0.03,0.9279950439929963,0.0005029312683843577,0.3298809660373876,0.004436412287541279,0.0028939760010689495,3.0340028280719296e-05
sgd_momentum,0.0,0.9587950444221496,0.0005745669402167994,0.20820652138873882,0.0018877848715106158,0.006895707529038191,0.00016224330557735556
sgd_momentum,0.03,0.9618400466442107,0.0004662358921563909,0.3344459471927612,0.002110531565245837,0.0029099624545779077,0.00029139799145383737
