width,bp_retention,rs_retention,delta_retention
256,0.15370674887632063,0.18101979326965245,0.02731304439333182
512,0.1753928331796242,0.2372389850448111,0.06184615186518691
1000,0.21207050275469344,0.3362048278345262,0.12413432507983277
2048,0.2948507061555279,0.42548761369832694,0.13063690754279905
