lam,seed_mean,seed_std,seed_count,test_acc_mean,test_acc_std,test_acc_count,prev_tasks_acc_mean,prev_tasks_acc_std,prev_tasks_acc_count
0.0,3.0,1.5811388300841898,5,0.9163400435447693,0.0022899612722268987,5,0.47613179765390684,0.005952592511324125,5
0.001,3.0,1.5811388300841898,5,0.9184200429916383,0.002003233356316255,5,0.47788440129344895,0.005969385851049211,5
0.003,3.0,1.5811388300841898,5,0.920290041565895,0.0016928741005655201,5,0.48000727902625473,0.0060473695177272226,5
0.01,3.0,1.5811388300841898,5,0.9209650391340256,0.0023203986068727825,5,0.4798517929598691,0.0057728180213907744,5
0.03,3.0,1.5811388300841898,5,0.9199500405788422,0.0029166536318257124,5,0.4766519871007849,0.006014562230536556,5
0.1,3.0,1.5811388300841898,5,0.9201600408554077,0.0029309010899618167,5,0.4610249202487256,0.006662880465733895,5
1.0,2.0,1.0,3,0.9193167080481848,0.0013156105181198346,3,0.42445307258339976,0.00699083449996116,3
10.0,2.0,1.0,3,0.9158083766698838,0.00042524293987597603,3,0.40551691814303026,0.007084578684489693,3
