arm_name,seed_mean,seed_std,seed_count,test_acc_mean,test_acc_std,test_acc_count,prev_tasks_acc_mean,prev_tasks_acc_std,prev_tasks_acc_count
bp,2.0,1.0,3,0.07291666666666667,0.025113673856752484,3,0.012630208333333332,0.0011276372445109878,3
ewc,2.0,1.0,3,0.06640625,0.024394523431243743,3,0.012369791666666666,0.00022552744890219715,3
ln_l2,2.0,1.0,3,0.06510416666666667,0.011933790872280832,3,0.012760416666666668,0.0005966895436140408,3
rs,2.0,1.0,3,0.07291666666666667,0.025113673856752484,3,0.012499999999999999,0.0010334966058846064,3
