run_id,task,epoch,step,test_acc
R2_B2_ep_3_seed1,0,0,0,0.13250000774860382
R2_B2_ep_3_seed1,0,0,25,0.2600000202655792
R2_B2_ep_3_seed1,0,0,50,0.39100003242492676
R2_B2_ep_3_seed1,0,0,75,0.5139999985694885
R2_B2_ep_3_seed1,0,0,100,0.6000000238418579
R2_B2_ep_3_seed1,0,0,125,0.6630000472068787
R2_B2_ep_3_seed1,0,0,150,0.6945000290870667
R2_B2_ep_3_seed1,0,0,175,0.7365000247955322
R2_B2_ep_3_seed1,0,0,200,0.7560000419616699
R2_B2_ep_3_seed1,0,0,225,0.7825000286102295
R2_B2_ep_3_seed1,0,1,250,0.7935000658035278
R2_B2_ep_3_seed1,0,1,275,0.8090000152587891
R2_B2_ep_3_seed1,0,1,300,0.8190000653266907
R2_B2_ep_3_seed1,0,1,325,0.8240000605583191
R2_B2_ep_3_seed1,0,1,350,0.831000030040741
R2_B2_ep_3_seed1,0,1,375,0.8400000333786011
R2_B2_ep_3_seed1,0,1,400,0.8415000438690186
R2_B2_ep_3_seed1,0,1,425,0.8445000648498535
R2_B2_ep_3_seed1,0,1,450,0.8515000343322754
R2_B2_ep_3_seed1,0,2,475,0.8545000553131104
R2_B2_ep_3_seed1,0,2,500,0.8615000247955322
R2_B2_ep_3_seed1,0,2,525,0.8665000200271606
R2_B2_ep_3_seed1,0,2,550,0.8660000562667847
R2_B2_ep_3_seed1,0,2,575,0.8705000281333923
R2_B2_ep_3_seed1,0,2,600,0.8760000467300415
R2_B2_ep_3_seed1,0,2,625,0.8755000233650208
R2_B2_ep_3_seed1,0,2,650,0.878000020980835
R2_B2_ep_3_seed1,0,2,675,0.8810000419616699
R2_B2_ep_3_seed1,0,2,700,0.8860000371932983
R2_B2_ep_3_seed1,1,0,0,0.11900000274181366
R2_B2_ep_3_seed1,1,0,25,0.2485000044107437
R2_B2_ep_3_seed1,1,0,50,0.3960000276565552
R2_B2_ep_3_seed1,1,0,75,0.5180000066757202
R2_B2_ep_3_seed1,1,0,100,0.6030000448226929
R2_B2_ep_3_seed1,1,0,125,0.6615000367164612
R2_B2_ep_3_seed1,1,0,150,0.70250004529953
R2_B2_ep_3_seed1,1,0,175,0.7345000505447388
R2_B2_ep_3_seed1,1,0,200,0.7595000267028809
R2_B2_ep_3_seed1,1,0,225,0.7715000510215759
R2_B2_ep_3_seed1,1,1,250,0.780500054359436
R2_B2_ep_3_seed1,1,1,275,0.7920000553131104
R2_B2_ep_3_seed1,1,1,300,0.8050000667572021
R2_B2_ep_3_seed1,1,1,325,0.8145000338554382
R2_B2_ep_3_seed1,1,1,350,0.8230000138282776
R2_B2_ep_3_seed1,1,1,375,0.830500066280365
R2_B2_ep_3_seed1,1,1,400,0.8355000615119934
R2_B2_ep_3_seed1,1,1,425,0.8400000333786011
R2_B2_ep_3_seed1,1,1,450,0.8415000438690186
R2_B2_ep_3_seed1,1,2,475,0.843500018119812
R2_B2_ep_3_seed1,1,2,500,0.8480000495910645
R2_B2_ep_3_seed1,1,2,525,0.8550000190734863
R2_B2_ep_3_seed1,1,2,550,0.858500063419342
R2_B2_ep_3_seed1,1,2,575,0.8580000400543213
R2_B2_ep_3_seed1,1,2,600,0.859000027179718
R2_B2_ep_3_seed1,1,2,625,0.862000048160553
R2_B2_ep_3_seed1,1,2,650,0.8655000329017639
R2_B2_ep_3_seed1,1,2,675,0.8665000200271606
R2_B2_ep_3_seed1,1,2,700,0.8705000281333923
R2_B2_ep_3_seed1,2,0,0,0.09650000184774399
R2_B2_ep_3_seed1,2,0,25,0.20350000262260437
R2_B2_ep_3_seed1,2,0,50,0.3530000150203705
R2_B2_ep_3_seed1,2,0,75,0.4790000319480896
R2_B2_ep_3_seed1,2,0,100,0.5805000066757202
R2_B2_ep_3_seed1,2,0,125,0.6440000534057617
R2_B2_ep_3_seed1,2,0,150,0.6930000185966492
R2_B2_ep_3_seed1,2,0,175,0.7355000376701355
R2_B2_ep_3_seed1,2,0,200,0.7640000581741333
R2_B2_ep_3_seed1,2,0,225,0.7850000262260437
R2_B2_ep_3_seed1,2,1,250,0.796000063419342
R2_B2_ep_3_seed1,2,1,275,0.8070000410079956
R2_B2_ep_3_seed1,2,1,300,0.8170000314712524
R2_B2_ep_3_seed1,2,1,325,0.8265000581741333
R2_B2_ep_3_seed1,2,1,350,0.8345000147819519
R2_B2_ep_3_seed1,2,1,375,0.8410000205039978
R2_B2_ep_3_seed1,2,1,400,0.8460000157356262
R2_B2_ep_3_seed1,2,1,425,0.8500000238418579
R2_B2_ep_3_seed1,2,1,450,0.8565000295639038
R2_B2_ep_3_seed1,2,2,475,0.8600000143051147
R2_B2_ep_3_seed1,2,2,500,0.8615000247955322
R2_B2_ep_3_seed1,2,2,525,0.8645000457763672
R2_B2_ep_3_seed1,2,2,550,0.8700000643730164
R2_B2_ep_3_seed1,2,2,575,0.874500036239624
R2_B2_ep_3_seed1,2,2,600,0.8755000233650208
R2_B2_ep_3_seed1,2,2,625,0.8765000700950623
R2_B2_ep_3_seed1,2,2,650,0.8770000338554382
R2_B2_ep_3_seed1,2,2,675,0.8770000338554382
R2_B2_ep_3_seed1,2,2,700,0.8830000162124634
R2_B2_ep_3_seed1,47,0,0,0.07900000363588333
R2_B2_ep_3_seed1,47,0,25,0.2305000126361847
R2_B2_ep_3_seed1,47,0,50,0.3595000207424164
R2_B2_ep_3_seed1,47,0,75,0.48600003123283386
R2_B2_ep_3_seed1,47,0,100,0.5875000357627869
R2_B2_ep_3_seed1,47,0,125,0.6490000486373901
R2_B2_ep_3_seed1,47,0,150,0.6840000152587891
R2_B2_ep_3_seed1,47,0,175,0.7210000157356262
R2_B2_ep_3_seed1,47,0,200,0.7490000128746033
R2_B2_ep_3_seed1,47,0,225,0.765500009059906
R2_B2_ep_3_seed1,47,1,250,0.7780000567436218
R2_B2_ep_3_seed1,47,1,275,0.7930000424385071
R2_B2_ep_3_seed1,47,1,300,0.8055000305175781
R2_B2_ep_3_seed1,47,1,325,0.8130000233650208
R2_B2_ep_3_seed1,47,1,350,0.8245000243186951
R2_B2_ep_3_seed1,47,1,375,0.8295000195503235
R2_B2_ep_3_seed1,47,1,400,0.8335000276565552
R2_B2_ep_3_seed1,47,1,425,0.8375000357627869
R2_B2_ep_3_seed1,47,1,450,0.8405000567436218
R2_B2_ep_3_seed1,47,2,475,0.8460000157356262
R2_B2_ep_3_seed1,47,2,500,0.8450000286102295
R2_B2_ep_3_seed1,47,2,525,0.8545000553131104
R2_B2_ep_3_seed1,47,2,550,0.8530000448226929
R2_B2_ep_3_seed1,47,2,575,0.8575000166893005
R2_B2_ep_3_seed1,47,2,600,0.8670000433921814
R2_B2_ep_3_seed1,47,2,625,0.8650000691413879
R2_B2_ep_3_seed1,47,2,650,0.8680000305175781
R2_B2_ep_3_seed1,47,2,675,0.8680000305175781
R2_B2_ep_3_seed1,47,2,700,0.8665000200271606
R2_B2_ep_3_seed1,48,0,0,0.09700000286102295
R2_B2_ep_3_seed1,48,0,25,0.179500013589859
R2_B2_ep_3_seed1,48,0,50,0.3175000250339508
