lambda,n,test_acc,test_sd,prev_only,prev_sd,radial_excess,weight_norm
0.0,3,0.958508379260699,0.0010857995026577198,0.20671180825837823,0.0024142615984145705,18.128010116048955,50.57049350738526
0.0001,3,0.9593750476837158,0.0006309749806873114,0.23401232869993197,0.0037689848596205275,17.50292733711829,50.09611549377441
0.003,3,0.9596833825111389,0.00017017206416367175,0.34158785870723785,0.0020060313566510222,11.479106205729943,45.24452222188314
0.006,3,0.9606667121251423,0.0002929734761258038,0.3407610444247771,0.005248544414009544,9.190356510905724,43.33519795735677
0.01,3,0.9610167115926743,0.0011630591697856978,0.33665298665231996,0.005355393054913613,7.229822097250126,41.67204494476318
0.1,2,0.9630250468850137,0.00010606886630495717,0.32289278552729084,0.0026786087919742755,-0.6513773421165319,33.73212490081787
1.0,2,0.9619125440716744,0.0006540790493830214,0.29684296476667044,0.0033376035696118748,-0.15267109669416853,31.461938667297364
10.0,3,0.9624417126178741,0.0013134675920482392,0.29098837077851775,0.001775626345995084,-0.015195780964391522,29.837812360127767
