arm,n,test_acc,test_sd,prev_only,prev_sd,weight_norm,radius
lambda_0.0010,3,0.9596701979637147,0.009042440353187556,0.9682401406268278,0.00468036313723228,22.64012908935547,23.666604741414385
lambda_0.0030,3,0.9596388260523478,0.009100351659397177,0.9682364347908231,0.004643003689515426,22.63984769185384,23.639785257975262
lambda_0.0000,3,0.9597038189570108,0.00906206212921232,0.9682304263114929,0.004670434837458949,22.640269724527997,23.680213673909503
lambda_0.0100,3,0.9594334840774538,0.009316864210562692,0.9682236843638949,0.004621894295072243,22.63888104756673,23.54896863301595
lambda_0.0300,3,0.9590572953224182,0.00910373490323792,0.9681931133899425,0.004689388907548436,22.636301549275718,23.31239878336589
lambda_0.1000,3,0.9575090924898784,0.009341019287376514,0.9674529573983617,0.004729503025358794,22.628841527303063,22.679925155639648
