epochs,slope,stderr,p_value
1,-6.299120202732323e-06,5.741459978305239e-06,0.27293822587810684
10,-1.3705808762849873e-05,2.0596742857508174e-06,5.4999907482598995e-11
30,-1.4742192582082047e-05,2.1320886826966453e-06,1.4458989947752866e-11
