arm,n,test_acc,test_sd,prev_only,prev_sd,weight_norm,radius
lambda_1.0000,3,0.9726684570312502,0.0021117884805194817,0.78210114977426,0.012069831752881678,22.570929463704427,19.143038304646808
lambda_0.3000,3,0.9733830054601035,0.001826503450836372,0.7813085754298502,0.011769586965057907,22.601522064208982,20.77435696919759
lambda_3.0000,3,0.9694908420244852,0.003690778678466487,0.7808839252425566,0.014265642184577218,22.538244756062824,17.90297533671061
lambda_0.1000,3,0.974134083588918,0.0014643979716724772,0.7757117593040069,0.012267637190937835,22.622211201985674,22.22915318806966
lambda_0.0300,3,0.974042018254598,0.0012139152944936065,0.7706672561665376,0.011572368012796607,22.63469174702962,23.33690185546875
lambda_0.0100,3,0.9739793618520102,0.0016553918167449024,0.7688808836456803,0.011255026362137634,22.639535268147785,23.835670216878256
lambda_0.0030,3,0.9739751617113749,0.001453741486348036,0.7679811281462511,0.01090514576713428,22.64144973754883,24.045892969767255
lambda_0.0010,3,0.9738412578900655,0.0013296358836995994,0.7678817245695325,0.011055802014802819,22.64202321370443,24.109724934895834
lambda_0.0000,3,0.9737743059794108,0.0012202350331635488,0.7677553256766664,0.011170482961820175,22.64231262207031,24.142379760742188
