arm,n,test_acc,test_sd,prev_only,prev_sd,weight_norm,radius
lambda_0.0100,3,0.9213667045036952,0.0010420345106452787,0.47566477218569897,0.006982602555907621,22.690938886006673,28.086107699076337
lambda_0.0030,3,0.9202583760023116,0.0008375255003416328,0.4755527835828715,0.005603688223750406,22.80035858154297,30.601868406931562
lambda_0.0300,3,0.9204417089621225,0.0010112920709266801,0.4738509117531611,0.007156391160123335,22.498108450571692,24.977680174509686
lambda_0.0010,3,0.9183667093515396,0.0012590494976837154,0.4732500843603858,0.0050639359902910925,22.843253294626873,32.05499184926351
lambda_0.0000,3,0.9164833794037501,0.001413403444298118,0.47172771476221076,0.004888634839409714,22.870180892944337,33.208026027679445
lambda_0.1000,3,0.9213000426689785,0.0007040071705114806,0.45942550774713187,0.006811307608650528,22.19539467493693,21.014154593149822
