run_id,task,epoch,step,test_acc
R2_B2_ep_1_seed1,0,0,0,0.13250000774860382
R2_B2_ep_1_seed1,0,0,25,0.2600000202655792
R2_B2_ep_1_seed1,0,0,50,0.39100003242492676
R2_B2_ep_1_seed1,0,0,75,0.5139999985694885
R2_B2_ep_1_seed1,0,0,100,0.6000000238418579
R2_B2_ep_1_seed1,0,0,125,0.6630000472068787
R2_B2_ep_1_seed1,0,0,150,0.6945000290870667
R2_B2_ep_1_seed1,0,0,175,0.7365000247955322
R2_B2_ep_1_seed1,0,0,200,0.7560000419616699
R2_B2_ep_1_seed1,0,0,225,0.7825000286102295
R2_B2_ep_1_seed1,1,0,0,0.13050000369548798
R2_B2_ep_1_seed1,1,0,25,0.2865000069141388
R2_B2_ep_1_seed1,1,0,50,0.41350001096725464
R2_B2_ep_1_seed1,1,0,75,0.531000018119812
R2_B2_ep_1_seed1,1,0,100,0.6190000176429749
R2_B2_ep_1_seed1,1,0,125,0.6760000586509705
R2_B2_ep_1_seed1,1,0,150,0.7075000405311584
R2_B2_ep_1_seed1,1,0,175,0.7345000505447388
R2_B2_ep_1_seed1,1,0,200,0.7580000162124634
R2_B2_ep_1_seed1,1,0,225,0.7750000357627869
R2_B2_ep_1_seed1,2,0,0,0.11050000786781311
R2_B2_ep_1_seed1,2,0,25,0.22200001776218414
R2_B2_ep_1_seed1,2,0,50,0.3830000162124634
R2_B2_ep_1_seed1,2,0,75,0.515500009059906
R2_B2_ep_1_seed1,2,0,100,0.6015000343322754
R2_B2_ep_1_seed1,2,0,125,0.6685000061988831
R2_B2_ep_1_seed1,2,0,150,0.7055000066757202
R2_B2_ep_1_seed1,2,0,175,0.7400000095367432
R2_B2_ep_1_seed1,2,0,200,0.7690000534057617
R2_B2_ep_1_seed1,2,0,225,0.7885000109672546
R2_B2_ep_1_seed1,47,0,0,0.14800000190734863
R2_B2_ep_1_seed1,47,0,25,0.30000001192092896
R2_B2_ep_1_seed1,47,0,50,0.4245000183582306
R2_B2_ep_1_seed1,47,0,75,0.5360000133514404
R2_B2_ep_1_seed1,47,0,100,0.612500011920929
R2_B2_ep_1_seed1,47,0,125,0.6690000295639038
R2_B2_ep_1_seed1,47,0,150,0.7120000123977661
R2_B2_ep_1_seed1,47,0,175,0.7430000305175781
R2_B2_ep_1_seed1,47,0,200,0.7645000219345093
R2_B2_ep_1_seed1,47,0,225,0.7725000381469727
R2_B2_ep_1_seed1,48,0,0,0.08750000596046448
R2_B2_ep_1_seed1,48,0,25,0.1835000067949295
R2_B2_ep_1_seed1,48,0,50,0.3085000216960907
R2_B2_ep_1_seed1,48,0,75,0.4480000138282776
R2_B2_ep_1_seed1,48,0,100,0.5370000004768372
R2_B2_ep_1_seed1,48,0,125,0.6220000386238098
R2_B2_ep_1_seed1,48,0,150,0.6730000376701355
R2_B2_ep_1_seed1,48,0,175,0.7055000066757202
R2_B2_ep_1_seed1,48,0,200,0.737500011920929
R2_B2_ep_1_seed1,48,0,225,0.752500057220459
R2_B2_ep_1_seed1,49,0,0,0.203000009059906
R2_B2_ep_1_seed1,49,0,25,0.3255000114440918
R2_B2_ep_1_seed1,49,0,50,0.43700000643730164
R2_B2_ep_1_seed1,49,0,75,0.5360000133514404
R2_B2_ep_1_seed1,49,0,100,0.6070000529289246
R2_B2_ep_1_seed1,49,0,125,0.6630000472068787
R2_B2_ep_1_seed1,49,0,150,0.6950000524520874
R2_B2_ep_1_seed1,49,0,175,0.7295000553131104
R2_B2_ep_1_seed1,49,0,200,0.7490000128746033
R2_B2_ep_1_seed1,49,0,225,0.7690000534057617
